ADDRESS,LABEL_TYPE,LABEL_SUBTYPE,ADDRESS_NAME,PROJECT_NAME
Air7WU5vWiKTauGy6d5L8AQLjqDd2GJafvXinAd2Gj7j,cex,deposit_wallet,kucoin deposit_wallet,kucoin
7tm2ZcichAQRSbagHe1MBnRwA3h5bZAvKKMKnvDJ6crX,cex,deposit_wallet,backpack exchange deposit_wallet,backpack exchange
AmXNjW7r26sXmia7FiMifA2tTKFryTRF1kngJhdieosR,cex,deposit_wallet,okx deposit_wallet,okx
HZmrhbzkRqJPs14zu9tBZqR64K1ZpMpzzjUrx2o2uMAb,cex,deposit_wallet,bybit deposit_wallet,bybit
FHykdCMBUVBV2FAC6afgW6tBinv3aLqkmXrwW5bri9cX,cex,deposit_wallet,binance deposit_wallet,binance
DD5SXYmwEj7g3CPwshNDx7Y9vdfzQfTpsRjRVo9Rii3L,cex,deposit_wallet,binance deposit_wallet,binance
2UQDxz2vxnUXq8HrsLu23Dnu7i7MyjMCni8QbSuq4njv,cex,deposit_wallet,binance deposit_wallet,binance
GhkwL89FBNu1uzT5jeg8nr4fegiG9XXYq5HJx4C8gi2h,cex,deposit_wallet,coinbase deposit_wallet,coinbase
ESo2o9JHTqRS6Hi55U5VzHAFRZJy1tSasLuAN7yKwHyY,cex,deposit_wallet,coinbase deposit_wallet,coinbase
DpysULjwsdYDeLVM6NZhAL4Fbe6JhPhkeBaM1irQ8a76,cex,deposit_wallet,binance deposit_wallet,binance
H2v3EHNqmgAittGDkB9pgQUHzDXQbGfgDuUHZxzzdoyg,cex,deposit_wallet,okx deposit_wallet,okx
61w8XVpUAWmRYi6C7rtZCWMCA62zEGUihKJKn6ECdkG,cex,deposit_wallet,binance deposit_wallet,binance
DEYbvZT68NDf6czw12X9ed8qc1VtHkajaw8DjzTY4fjF,cex,deposit_wallet,binance deposit_wallet,binance
75XjNTTJSutbUQS1sL3CNsVHGJwZShHG98sCwmRkWhVL,cex,deposit_wallet,gate.io deposit_wallet,gate.io
2ZGeUyWCkUT3fzymT1UNH3ZdvpbAKKUfju6MAtEC7LZ1,cex,deposit_wallet,binance deposit_wallet,binance
CbTkPXcuB75dM5QMU7E9HKbMF56KK2GUxkTQH44K8wz8,cex,deposit_wallet,okx deposit_wallet,okx
6yzJjREi5Yj6czjCfG9KKeyrGaZ5Q4JQVFagQPaHuhNg,cex,deposit_wallet,crypto.com deposit_wallet,crypto.com
BdjJKKWoUhTQwbaxc9oakCwRZiRNFxQ54DCSQrfWgXiu,cex,deposit_wallet,gate.io deposit_wallet,gate.io
3J77XLAfn6fdRq5Jk7mbhJxMQgJAgdyWqbtb4QgVwwUs,cex,deposit_wallet,binance deposit_wallet,binance
3k2ZB37tjAYZHpLuyRZXQWg9KVR4pAf2L4Nhfhhb6v1t,cex,deposit_wallet,coinbase deposit_wallet,coinbase
GpkiapYGZr3QtxGiJbzcAqKRDx2fnavzvTCcosqy5fRU,cex,deposit_wallet,okx deposit_wallet,okx
J5vvBSZAhaup4MBn2B4MwTsXnKztMXVRQjDKscohboRk,cex,deposit_wallet,backpack exchange deposit_wallet,backpack exchange
C6Jzv4BimTcTZ4BhGA4QDQMrPbLCe9qrTFagHsfAZtGJ,cex,deposit_wallet,binance deposit_wallet,binance
9tE2Tk36GiTEzRE3w6eBPMMMxzp53yMXP9fDVUcDNTDb,cex,deposit_wallet,backpack exchange deposit_wallet,backpack exchange
AnyYVfwJdHv5WbBdNjEQvN6yMWxWyqqCrSxPnXTMeVYv,cex,deposit_wallet,coinbase deposit_wallet,coinbase
EyHzpF2F1y6vWkdaQoWw3oADKvsCAo8MhGiXU7TKURBG,cex,deposit_wallet,coinbase deposit_wallet,coinbase
EthppG6JJdsDE47c2pSFDYT6udF5nwyhdS5ooNfsN4TL,cex,deposit_wallet,bybit deposit_wallet,bybit
3YVMpRmoRCaPDdTgAyLmhPHbdBWDEDU4dUybXbs1vnFy,cex,deposit_wallet,okx deposit_wallet,okx
7ydwwHi1E88aENSP5mXDKcK6aQMRJPAwMa3QZyMBfGKi,cex,deposit_wallet,binance deposit_wallet,binance
GhmP2S5hNPdfYCqfd3RHtPSm4fSarzMJn14jncRtA3Ue,cex,deposit_wallet,binance deposit_wallet,binance
FoCuGE5UxQzxJa4iUBQ3LKQ5mBDJADZuwdK5U2fq4obA,cex,deposit_wallet,okx deposit_wallet,okx
36fnNVXgEWjffEoniNqda7DJBAiwFuR9yQMsLvKodNxB,cex,deposit_wallet,backpack exchange deposit_wallet,backpack exchange
g7MnvrQ1MumLkFV5N67Dgv4jAe1bB4mZ1UZ7yuex3eH,cex,deposit_wallet,coinbase deposit_wallet,coinbase
axop2grAu4QCjAiG4kdV72nH4MfVHHbDLJ6UV5rjRi4,cex,deposit_wallet,coinbase deposit_wallet,coinbase
EXMzQBFGP5YGexyHr4ZPDESyqvQ6CgduAtK2m8Z6KWrH,cex,deposit_wallet,gate.io deposit_wallet,gate.io
BYMZftEf1hDS3DGjq5UDZEDNC5c8dnnXjVpkGX23GMjZ,cex,deposit_wallet,bybit deposit_wallet,bybit
CqgpFEUwVhHAeMyGjMA7EdWyp7QK7TStatB1D5qMKfyn,cex,deposit_wallet,swissborg deposit_wallet,swissborg
BVzWi6qEz9DB5UPZkWWhZeTaAVtbwLabdYHUWq8gcWpX,cex,deposit_wallet,backpack exchange deposit_wallet,backpack exchange
CW1vRc2RmWfVxqzWc1QJCbDvpXiYmnfDtJThHWZmZMdQ,cex,deposit_wallet,bybit deposit_wallet,bybit
4M9fbkKD2e5eN8g8hegj6qrGMhZww7Rg2hcXJFvdTGV3,cex,deposit_wallet,bybit deposit_wallet,bybit
FQbnnAxw39WUokC8Zjh6JyctggrtJfg7JRAV7RfrnCRm,cex,deposit_wallet,binance deposit_wallet,binance
4VGRXiQ2Zsr5s5xUSCZDiG4vfCRdhnWaMsNeth6miU2A,cex,deposit_wallet,okx deposit_wallet,okx
6tKFuvb9kCoKDE1zBJLDR2Tu5ChnaQRozG7hcMtewrur,cex,deposit_wallet,binance deposit_wallet,binance
