address,chain,source,name,label_type,label_subtype,project,entity_type,entity_types
7PVi1zx3bJgXZ5MCt57rAxJ1uXP5s3xGNeKf7xd4WPb8,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7PViwcwngnqzZCETACjhN1NPiQH4vDjpfW7m6dnYgjuM,solana,solana_cex,gate.io deposit_wallet,cex,deposit_wallet,gate.io,exchange,
7PWNAPhCYPUSooSETr1FTFGXeqxvZ9K3iKZu6fNQJ3qG,solana,solana_cex,kucoin deposit_wallet,cex,deposit_wallet,kucoin,exchange,
7PXA5xzNisxAgLgicUC11Chdxc7sMRqnTkYuUJrvHbFw,solana,solana_cex,kraken deposit_wallet,cex,deposit_wallet,kraken,exchange,
7PXeNXiy2dE2kaMCxKvpdqTmecuA3XmRei7aWqroAzuC,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7PXfyWd4szZKYoxNGWmTounLCGLgGpYwhxhfkbG99AtA,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7PYKE6hEtPbH7vPStxuLFD4114m7ibchSDxNvmmpADcn,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7PYUX9Bz7n9wKBHLnQHquBduDhygWb97B6Np5QwNnbzT,solana,solana_cex,bybit deposit_wallet,cex,deposit_wallet,bybit,exchange,
7PZ6yhZNUAQjdTAngMoQyRARKoMdwCcUJVGePkC2vd38,solana,solana_cex,ftx deposit_wallet,cex,deposit_wallet,ftx,exchange,
7PZN32KUrTvpWEbZZLtpVrgY2Gbd823SafMVucSpjanq,solana,solana_cex,swissborg deposit_wallet,cex,deposit_wallet,swissborg,exchange,
7PZR32RGqytj4w1YxF8gCMDp7mugwpbg9whnYC235PLj,solana,solana_cex,ftx.us deposit_wallet,cex,deposit_wallet,ftx.us,exchange,
7PZqTJwmRZMCPoQzUMVjLTzeZQ45bL7NQZVePdRSxoRQ,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7Pa28TVBpdLtB9bGSY1YQRZqGDAGY7pucGMbuNzJSv23,solana,solana_cex,crypto.com deposit_wallet,cex,deposit_wallet,crypto.com,exchange,
7ParTb1CnEsrWqfVvzGmj8F7pwz17qtXcqu58QABf3eu,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7Pb3FsJ4Sh7a6zCAU8rphmtyDAp1CCsVBV4RRsHBukAG,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7Pb9Xo9nYmvBeMrew7aTTaGYi8shjAj65X7k5gnieo4E,solana,solana_cex,backpack exchange deposit_wallet,cex,deposit_wallet,backpack exchange,exchange,
7PcshQ4rnH1mwxfQr1aRsYHR14nay35KeVANbJmjjoXq,solana,solana_cex,kucoin deposit_wallet,cex,deposit_wallet,kucoin,exchange,
7PdRcbD9DuoWVaPSzKezWf5CXoMsyGpQgxhahWRAJ7Ap,solana,solana_cex,okx deposit_wallet,cex,deposit_wallet,okx,exchange,
7PdmWTjmaVFudgMrz3PRmEcL1zfqu4Hg6QSN9AzBzMJV,solana,solana_dapp,sm test,dapp,governance,sm test,dapp,
7PergDW9kD9aFJiikRX88pCjbYSQUnz4XC8zXWRDnfwb,solana,solana_cex,ftx deposit_wallet,cex,deposit_wallet,ftx,exchange,
7PfhF395ey5jk876JwBvkBd8PEobqkehh6C4zkD3YCmE,solana,solana_cex,bybit deposit_wallet,cex,deposit_wallet,bybit,exchange,
7PfrLm4kvjBk2ViyzwXVWx3DNEjiAGrHUXq3zYmsB24N,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7PgVE8daRa4Nwedrn9L9XRhtTDLK4mnDspZcD3i59x6b,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7PhUEwAfs5nRn2XNNPffmSy69Ju6jPgyvr95v2TPNXkQ,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7PiFsXMDuBeeBoJETZ4NRuEehRY6x5masUFqYJui3cZx,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7PivLg8mf871YwbutcvEoUhXuoWHjTfhayStqvxtq8Aw,solana,solana_cex,huobi global deposit_wallet,cex,deposit_wallet,huobi global,exchange,
7PiyifeAFFkVG8eaYhM59oCJ71EJXFGD7Brrb8vZ5mhM,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7Pj75CFzKu4Vr6Xp8EkptsRudw8yVijnsqzjerRirhEG,solana,solana_cex,kucoin deposit_wallet,cex,deposit_wallet,kucoin,exchange,
7Pjf9s1b956XPHUbChmNbKr1RASbEq7UCckDGa6kw56V,solana,solana_cex,kucoin deposit_wallet,cex,deposit_wallet,kucoin,exchange,
